date,time,action_type,location,latitude,longitude,notes,source
2025-05-15,09:00,Marcha,Ángel de la Independencia,19.423,-99.167,Inicio de la mega marcha hacia el Zócalo,https://www.milenio.com/politica/comunidad/marcha-dia-maestro-cdmx-2025-ruta-calles-cerradas-y-alternativas
2025-05-15,13:00,Plantón,Zócalo,19.433,-99.132,Instalación de plantón indefinido,https://www.tvazteca.com/aztecanoticias/planton-la-cnte-el-15-mayo-2025-lo-que-se-sabe-calles-cerradas-y-horario
2025-05-20,08:00,Bloqueo,Auditorio Nacional,19.422,-99.191,Bloqueo simultáneo anunciado,https://www.telediario.mx/comunidad/bloqueos-de-la-cnte-en-cdmx-hoy-20-de-mayo-ultimas-noticias
2025-05-20,08:00,Bloqueo,Intercambio La Raza,19.462,-99.146,Bloqueo simultáneo anunciado,https://www.telediario.mx/comunidad/bloqueos-de-la-cnte-en-cdmx-hoy-20-de-mayo-ultimas-noticias
2025-05-20,08:00,Bloqueo,Calz. de Tlalpan & Gral. Anaya,19.36,-99.15,Bloqueo simultáneo anunciado,https://www.telediario.mx/comunidad/bloqueos-de-la-cnte-en-cdmx-hoy-20-de-mayo-ultimas-noticias
2025-05-20,08:00,Bloqueo,Zaragoza & Blvd. Puerto Aéreo,19.428,-99.079,Bloqueo simultáneo anunciado,https://www.telediario.mx/comunidad/bloqueos-de-la-cnte-en-cdmx-hoy-20-de-mayo-ultimas-noticias
2025-05-22,14:30,Bloqueo,Paseo de la Reforma (Gral. Prim),19.431,-99.153,Cierre de carriles laterales,https://www.razon.com.mx/ciudad/2025/05/22/bloqueo-cnte-hoy-22-de-mayo-esta-cerrado-paseo-de-la-reforma-esto-sabemos/
2025-05-23,12:00,Concentración,Zócalo,19.433,-99.132,Concentración prevista,https://www.razon.com.mx/mexico/2025/05/23/cnte-continuara-bloqueos-hoy-23-de-mayo-horario-calles-cerradas-y-alternativas-viales/
2025-05-23,12:00,Bloqueo,AICM Terminal 1 accesos,19.436,-99.073,Bloqueo de accesos vehiculares al aeropuerto,https://lasillarota.com/metropoli/2025/5/23/por-la-cnte-perdi-mi-avion-ahora-tengo-que-comprar-otro-boleto-537543.html
2025-06-02,10:00,Bloqueo,Secretaría de Gobernación (Bucareli & Abraham González),19.4308,-99.1537,"Bloqueo en Segob; cierre de Bucareli, Abraham González y calles aledañas",https://serpientesyescaleras.mx/cnte-bloquea-la-secretaria-de-gobernacion-y-rechaza-propuesta-del-gobierno-federal/
2025-06-06,11:00,Marcha,Ángel de la Independencia (inicio),19.423,-99.167,Marcha Ángel-Zócalo; demanda ISSSTE; inicio de movilización,https://www.jornada.com.mx/noticia/2025/06/06/politica/marchan-maestros-de-la-cnte-del-angel-al-zocalo-inicia-retiro-de-planton
2025-06-06,12:30,Bloqueo,Reforma & Insurgentes (Glorieta),19.4305,-99.17,Bloqueo parcial mientras avanza la marcha,https://www.jornada.com.mx/noticia/2025/06/06/politica/marchan-maestros-de-la-cnte-del-angel-al-zocalo-inicia-retiro-de-planton
2025-06-18,06:00,Bloqueo/Brigada,ISSSTE Clínica Tlalpan (Benito Juárez 15),19.282,-99.1629,Brigada informativa; bloqueo parcial temprano,https://www.ambito.com/mexico/informacion-general/cnte-regresa-marchas-y-bloqueos-cdmx-hoy-miercoles-18-junio-2025-evita-estos-lugares-n6157774
2025-06-18,12:45,Bloqueo/Brigada,ISSSTE Iztapalapa II (Av. San Lorenzo 278),19.3339,-99.0993,Brigada informativa y bloqueo intermitente,https://www.ambito.com/mexico/informacion-general/cnte-regresa-marchas-y-bloqueos-cdmx-hoy-miercoles-18-junio-2025-evita-estos-lugares-n6157774
2025-06-18,13:00,Bloqueo/Brigada,ISSSTE Cuajimalpa (entre Tamaulipas y Castillo Ledón),19.3604,-99.2874,Brigada informativa; cierre parcial de vialidad local,https://www.ambito.com/mexico/informacion-general/cnte-regresa-marchas-y-bloqueos-cdmx-hoy-miercoles-18-junio-2025-evita-estos-lugares-n6157774
2025-06-18,15:00,Bloqueo/Brigada,Hospital ISSSTE Fernando Quiroz (Alvaro Obregón),19.3642,-99.2122,Volanteo y bloqueo en hospital; reparto de propaganda,https://www.ambito.com/mexico/informacion-general/cnte-regresa-marchas-y-bloqueos-cdmx-hoy-miercoles-18-junio-2025-evita-estos-lugares-n6157774
