date,time,zipcode_id,alimentos,restaurantes,hoteles,ocio,health_goods,aerolineas,servicios,bienes,gasolina,total
20250531,19,15820,5564.04,,,,,,,5564.04,,5564.04
20250526,0,4330,24441.24,63275.4,,,15169.58,,84035.4,254285.01,178851.82,338320.41
20250509,21,1180,15483.0,,,,12874.0,,,28357.0,,28357.0
20250608,14,9640,6103.65,,,,,,,6103.65,,6103.65
20250507,6,14700,3456.0,372.0,,,319.5,,,4147.5,,4147.5
20250518,22,4620,2715.79,,,,,,,2715.79,,2715.79
20250609,19,7010,5765.75,,,,,,,5765.75,,5765.75
20250527,0,9920,,,,,17957.78,,100.0,28782.78,,35781.78
20250512,21,1000,3522.29,,,,2176.0,,89152.7,5944.19,,95096.89
20250612,3,3730,,777.0,,,,,777.0,278.0,,1055.0
20250607,0,11870,130470.72,139267.14,71684.0,,44204.27,,512485.13,1005139.12,341424.24,1518609.25
20250517,5,14420,1464.08,863.0,,,41.0,,1462.0,1774.08,,3236.08
20250504,4,3660,64.0,,,,5112.01,,,9842.89,,9842.89
20250517,6,7320,341.5,,,,80.0,,,2271.5,,2271.5
20250514,22,6760,10564.17,,,,12687.78,,,23251.95,,23251.95
20250505,8,9640,623.0,,,,,,,1222.96,,1222.96
20250607,19,7020,4540.42,5002.21,,,5331.85,,5002.21,9872.27,,14874.48
20250524,2,14420,180.0,161.0,,,30.0,,161.0,1086.01,,1247.01
20250511,19,5348,107217.83,1534.1,,,,,58705.1,598944.66,,657649.76
20250521,9,13200,1120.0,551.0,,,,,,1671.0,,1671.0
20250513,8,14700,7601.0,357.0,,,1364.3,,,9322.3,,9322.3
20250528,10,2430,31092.86,,,,,,346.0,53583.51,,53929.51
20250524,7,13200,2729.5,18.0,,,,,,2747.5,,2747.5
20250613,15,9310,4552.59,,,,6726.0,,,11278.59,,11278.59
20250610,6,3600,337.0,1024.42,,,25111.5,,,26472.92,,26472.92
20250516,0,11950,33382.97,71450.15,,,,,106850.15,243531.11,,350381.26
20250526,13,5320,3274.5,,,,,,,3274.5,,3274.5
20250519,20,15820,4997.52,,,,,,,4997.52,,4997.52
20250513,0,4660,68.5,19099.0,,,,,37914.0,26504.62,,64418.62
20250516,17,16740,22631.72,,,,,,,22631.72,,22631.72
20250613,20,9910,53094.62,,,,,,2806.9,241136.3,,257081.52
20250519,10,6720,22224.13,3493.7,,,12160.73,,208082.7,38556.36,,246639.06
20250523,19,6100,62453.22,2863.35,,,26399.31,,2863.35,125881.49,,137229.64
20250612,0,15290,5160.5,,,,,,72565.01,2611264.47,,2683829.48
20250508,10,15820,2235.8,,,,,,,2235.8,,2235.8
20250606,7,14650,475.5,1316.0,,,737.3,,,2528.8,,3717.45
20250613,2,11000,7657.4,1423.0,,,800.5,,24852.09,24877.56,,49729.65
20250612,21,16740,27355.23,,,,,,,27355.23,,27355.23
20250505,10,5320,2053.5,,,,,,,2053.5,,2053.5
20250508,17,9030,4064.38,,,,,,,9078.88,3938.74,9078.88
20250507,11,9700,7776.43,572.0,,,,,699.0,8348.43,,10981.07
20250518,0,2720,,,,,13580.0,,1450.0,13580.0,,15030.0
20250529,19,9030,4975.58,,,,,,,8954.16,2967.65,8954.16
20250517,7,3660,3577.79,,,,10688.92,,,20653.44,,20653.44
20250603,7,1290,730.14,103.0,,,,,,833.14,,833.14
20250507,4,6820,,,,,132.04,,179.0,4539.88,,4718.88
20250517,0,2300,38879.0,434003.59,149213.12,,,,672277.63,1181706.02,,2017633.4
20250608,16,1000,6719.65,,,,10834.5,,26224.26,26329.8,,52554.06
20250612,15,7130,1475.69,,,,,,,1475.69,,1475.69
20250510,12,5320,3062.5,,,,,,,3062.5,,3062.5
20250517,17,9310,5257.92,,,,6901.79,,,12159.71,,12159.71
20250519,7,14200,30224.29,,,,5173.0,,1098.0,39317.07,,40415.07
20250515,13,1620,47042.86,,,,,,,58296.86,,58296.86
20250530,20,6720,29807.78,810.9,,,16845.09,,436475.9,57650.07,,494125.97
20250515,14,5348,71564.99,1168.4,,29869.97,,,39578.85,641474.36,,681053.21
20250504,12,9040,3513.5,2381.0,1635.61,,980.71,,19142.91,140206.69,,159349.6
20250612,2,6820,108.0,147.0,,,19.9,,1647.0,2089.79,,3736.79
20250612,7,9040,1115.5,1198.5,280.0,,1628.63,,11230.5,88463.08,,99693.58
20250608,4,3660,421.0,,,,2510.95,,,5729.04,,5729.04
20250607,23,3720,2350.56,3784.1,,,,,8547.5,2350.56,,10898.06
20250518,0,11570,4253.03,740897.91,,,139905.6,794991.0,1620174.96,304849.03,,1925023.99
20250507,1,10000,106.0,,,,,,,106.0,,106.0
20250528,22,11000,1975.14,2478.6,,3639.0,2778.6,,545258.25,44506.36,,589764.61
20250529,10,14070,889.0,,,,,,330.0,889.0,,1219.0
20250512,7,16001,332.0,,,,,,,332.0,,332.0
20250510,13,11410,10959.1,7069.8,,,,,7069.8,10959.1,,22386.15
20250522,8,5310,167.0,,,,,,,17072.36,,17072.36
